"","1","2","3","4","5","6","7","8","9","10","11"
"570","TOR","TOR","TOR","DET","DET","CLE","","","","",""
"571","TBA","TBA","KCA","KCA","KCA","KCA","","","","",""
"572","LAN","","","","","","","","","",""
"573","MIN","","","","","","","","","",""
"574","CHA","CHA","CHA","CHA","BAL","BAL","BOS","SFN","NYN","",""
"575","SDN","","","","","","","","","",""
"576","SDN","PIT","PIT","TBA","","","","","","",""
"577","SDN","MIN","MIN","MIN","HOU","HOU","","","","",""
"578","PHI","PHI","PHI","PHI","PHI","","","","","",""
"579","NYN","NYN","NYN","","","","","","","",""
"580","OAK","CHN","CHN","WAS","TBA","TBA","TBA","LAA","","",""
"581","LAN","LAN","BOS","CIN","CIN","","","","","",""
"582","SEA","SEA","TOR","TOR","TOR","TOR","CIN","","","",""
"583","MIL","","","","","","","","","",""
"584","ATL","","","","","","","","","",""
"585","TBA","","","","","","","","","",""
"586","TBA","TBA","LAA","LAA","","","","","","",""
"587","ARI","ARI","","","","","","","","",""
"588","COL","COL","COL","COL","COL","COL","","","","",""
"589","LAN","LAN","BOS","BOS","ARI","ARI","","","","",""
"590","BOS","","","","","","","","","",""
"591","HOU","HOU","","","","","","","","",""
"592","LAN","","","","","","","","","",""
"593","ATL","ATL","ARI","ARI","ARI","ARI","","","","",""
"594","WAS","CIN","","","","","","","","",""
"595","OAK","OAK","","","","","","","","",""
"596","HOU","HOU","","","","","","","","",""
"597","ARI","ARI","","","","","","","","",""
"598","CHN","CHN","TEX","BOS","","","","","","",""
"599","NYN","NYN","WAS","WAS","","","","","","",""
"600","CIN","","","","","","","","","",""
"601","SDN","SDN","SDN","SDN","SEA","CHN","","","","",""
"602","NYA","","","","","","","","","",""
"603","TOR","","","","","","","","","",""
"604","SFN","WAS","TOR","","","","","","","",""
"605","SLN","SLN","SLN","SLN","COL","COL","","","","",""
"606","MIA","CIN","CIN","","","","","","","",""
"607","TEX","TEX","","","","","","","","",""
"608","WAS","WAS","WAS","WAS","WAS","TEX","","","","",""
"609","SDN","SDN","BAL","MIA","","","","","","",""
"610","WAS","WAS","WAS","WAS","TEX","ATL","CLE","OAK","","",""
"611","HOU","","","","","","","","","",""
"612","OAK","","","","","","","","","",""
"613","MIN","MIN","","","","","","","","",""
"614","CHN","CHN","ATL","","","","","","","",""
"615","MIN","MIN","MIN","TOR","","","","","","",""
"616","SLN","","","","","","","","","",""
"617","CIN","","","","","","","","","",""
"618","SEA","","","","","","","","","",""
"619","PIT","PIT","","","","","","","","",""
"620","LAA","COL","","","","","","","","",""
"621","BOS","TOR","TOR","","","","","","","",""
"622","CLE","","","","","","","","","",""
"623","CIN","CIN","CIN","","","","","","","",""
"624","PIT","ATL","ATL","MIA","","","","","","",""
"625","SDN","SDN","","","","","","","","",""
"626","NYA","NYA","BAL","CLE","","","","","","",""
"627","COL","COL","COL","TBA","","","","","","",""
"628","NYN","NYN","TOR","TOR","TOR","TOR","","","","",""
"629","SLN","SLN","","","","","","","","",""
"630","PHI","PHI","PHI","PHI","TEX","TEX","","","","",""
"631","MIA","MIA","MIA","MIA","","","","","","",""
"632","MIL","","","","","","","","","",""
"633","WAS","WAS","","","","","","","","",""
"634","MIL","MIL","","","","","","","","",""
"635","MIN","","","","","","","","","",""
"636","DET","DET","DET","","","","","","","",""
"637","FLO","MIA","MIA","MIA","WAS","","","","","",""
"638","CHN","CHN","CHN","","","","","","","",""
"639","SFN","CIN","","","","","","","","",""
"640","LAN","LAN","TBA","SDN","","","","","","",""
"641","FLO","HOU","HOU","HOU","TOR","","","","","",""
"642","CLE","CLE","","","","","","","","",""
"643","OAK","OAK","OAK","TOR","TOR","","","","","",""
"644","OAK","OAK","OAK","OAK","OAK","","","","","",""
"645","ARI","","","","","","","","","",""
"646","TOR","SLN","DET","DET","","","","","","",""
"647","BOS","BOS","BOS","BOS","CHN","TOR","OAK","","","",""
"648","PIT","MIN","MIN","ATL","","","","","","",""
"649","DET","DET","HOU","","","","","","","",""
"650","HOU","HOU","","","","","","","","",""
"651","LAA","LAA","LAA","ATL","CHA","KCA","","","","",""
"652","MIN","MIN","MIN","MIN","MIN","","","","","",""
"653","KCA","","","","","","","","","",""
"654","TOR","TOR","TOR","TOR","CHA","ARI","","","","",""
"655","BAL","BAL","","","","","","","","",""
"656","BOS","","","","","","","","","",""
"657","ARI","ARI","OAK","BOS","BOS","NYA","NYA","WAS","","",""
"658","ARI","ARI","","","","","","","","",""
"659","NYN","NYN","NYN","NYN","NYN","NYN","","","","",""
"660","MIN","MIN","MIN","MIN","MIN","BAL","","","","",""
"661","MIN","MIN","","","","","","","","",""
"662","KCA","KCA","KCA","KCA","KCA","KCA","","","","",""
"663","SFN","SFN","SFN","TBA","","","","","","",""
"664","HOU","HOU","","","","","","","","",""
"665","ARI","WAS","WAS","CIN","MIL","CHA","CHA","SLN","","",""
"666","OAK","OAK","","","","","","","","",""
"667","MIN","","","","","","","","","",""
"668","CLE","CLE","TBA","","","","","","","",""
"669","CHA","CHA","CHA","CHA","OAK","","","","","",""
"670","SFN","SFN","","","","","","","","",""
"671","FLO","MIA","MIA","MIA","MIA","MIA","","","","",""
"672","HOU","","","","","","","","","",""
"673","CLE","ATL","PHI","","","","","","","",""
"674","SFN","CIN","CIN","","","","","","","",""
"675","KCA","","","","","","","","","",""
"676","TBA","","","","","","","","","",""
"677","KCA","KCA","KCA","KCA","KCA","KCA","","","","",""
"678","TOR","MIA","MIA","MIA","TEX","TEX","","","","",""
"679","SLN","","","","","","","","","",""
"680","ARI","ARI","CHA","CHA","CHA","","","","","",""
"681","NYN","NYN","NYN","NYN","","","","","","",""
"682","SFN","SFN","","","","","","","","",""
"683","CHN","CHN","","","","","","","","",""
"684","TEX","TEX","SDN","","","","","","","",""
"685","PHI","","","","","","","","","",""
"686","NYN","","","","","","","","","",""
"687","MIA","LAA","","","","","","","","",""
"688","KCA","OAK","","","","","","","","",""
"689","PHI","PHI","","","","","","","","",""
"690","TBA","COL","","","","","","","","",""
"691","LAN","LAN","LAN","","","","","","","",""
"692","DET","","","","","","","","","",""
"693","SEA","SEA","BOS","","","","","","","",""
"694","MIA","MIA","","","","","","","","",""
"695","LAN","LAN","LAN","LAN","LAN","LAN","PHI","","","",""
"696","OAK","COL","LAN","LAN","SLN","","","","","",""
"697","BOS","BOS","BOS","NYA","NYA","NYA","","","","",""
"698","ARI","HOU","CIN","TBA","MIL","","","","","",""
"699","LAN","LAN","","","","","","","","",""
"700","NYN","","","","","","","","","",""
"701","TOR","TOR","TOR","TOR","TOR","TOR","","","","",""
"702","ARI","LAA","LAA","","","","","","","",""
"703","LAN","LAN","MIA","MIA","MIA","NYA","NYA","","","",""
"704","TEX","NYA","NYA","","","","","","","",""
"705","SDN","SDN","SDN","SDN","","","","","","",""
"706","COL","COL","COL","","","","","","","",""
"707","HOU","","","","","","","","","",""
"708","MIA","","","","","","","","","",""
"709","KCA","KCA","KCA","KCA","KCA","KCA","","","","",""
"710","CHA","CHA","MIN","MIN","MIN","MIN","MIN","","","",""
"711","BOS","ARI","","","","","","","","",""
"712","TOR","TOR","TBA","TBA","WAS","LAA","","","","",""
"713","WAS","WAS","WAS","WAS","WAS","WAS","","","","",""
"714","COL","","","","","","","","","",""
"715","MIL","MIL","MIL","MIL","TOR","TOR","","","","",""
"716","LAN","LAN","LAN","LAN","LAN","LAN","","","","",""
"717","NYN","ARI","","","","","","","","",""
"718","LAN","BAL","NYN","ATL","TBA","","","","","",""
"719","CLE","","","","","","","","","",""
"720","BAL","","","","","","","","","",""
"721","BAL","","","","","","","","","",""
"722","KCA","KCA","MIL","SDN","","","","","","",""
"723","NYN","NYN","NYN","NYN","NYN","","","","","",""
"724","DET","DET","DET","","","","","","","",""
"725","TBA","TBA","TBA","PIT","NYN","HOU","","","","",""
"726","TOR","SEA","SEA","SEA","TBA","","","","","",""
"727","MIL","MIL","","","","","","","","",""
"728","TEX","TEX","","","","","","","","",""
"729","LAA","PHI","","","","","","","","",""
"730","LAN","LAN","LAN","LAN","CHN","","","","","",""
"731","TEX","","","","","","","","","",""
"732","TEX","TEX","CHN","BAL","HOU","HOU","HOU","TOR","","",""
"733","NYN","","","","","","","","","",""
"734","HOU","HOU","","","","","","","","",""
"735","TEX","TEX","TEX","TEX","TEX","DET","PIT","","","",""
"736","MIA","MIA","MIA","MIA","","","","","","",""
"737","DET","","","","","","","","","",""
"738","SLN","HOU","","","","","","","","",""
"739","DET","","","","","","","","","",""
"740","HOU","HOU","HOU","HOU","LAN","","","","","",""
"741","MIL","DET","DET","TEX","TEX","TEX","","","","",""
"742","COL","COL","LAA","TEX","","","","","","",""
"743","MIN","MIN","MIN","MIN","MIN","LAN","","","","",""
"744","MIL","MIL","MIL","MIL","MIL","HOU","HOU","","","",""
"745","LAN","LAN","LAN","","","","","","","",""
"746","MIL","MIL","","","","","","","","",""
"747","SEA","SEA","LAN","","","","","","","",""
"748","TBA","NYA","PIT","","","","","","","",""
"749","HOU","","","","","","","","","",""
"750","OAK","OAK","TEX","","","","","","","",""
"751","KCA","KCA","CIN","CIN","","","","","","",""
"752","CIN","","","","","","","","","",""
"753","SEA","DET","DET","DET","WAS","WAS","HOU","","","",""
"754","BAL","BAL","BAL","BAL","BAL","","","","","",""
"755","COL","COL","COL","","","","","","","",""
"756","WAS","WAS","","","","","","","","",""
"757","MIA","MIA","","","","","","","","",""
"758","NYA","MIL","","","","","","","","",""
"759","NYN","NYN","NYN","NYN","","","","","","",""
"760","BAL","MIN","MIN","MIN","PIT","PIT","","","","",""
"761","TBA","","","","","","","","","",""
"762","CHA","CHA","CHA","CHA","CHA","ATL","","","","",""
"763","CHA","CHA","CHA","ATL","CLE","TOR","","","","",""
"764","MIA","MIA","KCA","","","","","","","",""
"765","HOU","ATL","ATL","","","","","","","",""
"766","SFN","PHI","","","","","","","","",""
"767","TEX","TEX","","","","","","","","",""
"768","SFN","","","","","","","","","",""
"769","BAL","","","","","","","","","",""
"770","SLN","","","","","","","","","",""
"771","SDN","SDN","SDN","TBA","TBA","TBA","","","","",""
"772","COL","COL","COL","HOU","CHN","CHN","","","","",""
"773","BAL","","","","","","","","","",""
"774","PHI","TOR","HOU","TBA","NYA","","","","","",""
"775","TOR","NYN","NYN","CHA","","","","","","",""
"776","KCA","COL","COL","CIN","OAK","NYA","TOR","","","",""
"777","KCA","KCA","KCA","SFN","SDN","PHI","ATL","MIA","","",""
"778","CIN","ATL","ATL","MIL","TOR","","","","","",""
"779","PHI","PHI","PHI","","","","","","","",""
"780","PHI","PHI","WAS","SFN","","","","","","",""
"781","SEA","SEA","TBA","TBA","TBA","","","","","",""
"782","SLN","","","","","","","","","",""
"783","TOR","CHA","TOR","TEX","TEX","KCA","KCA","ATL","","",""
"784","PIT","","","","","","","","","",""
"785","CIN","CIN","CIN","CIN","CIN","CHA","","","","",""
"786","ATL","ATL","ATL","ATL","ATL","ATL","","","","",""
"787","CIN","","","","","","","","","",""
"788","ARI","SEA","","","","","","","","",""
"789","SLN","SLN","SLN","TEX","MIL","","","","","",""
"790","SLN","SLN","SLN","LAA","LAA","PIT","","","","",""
"791","OAK","OAK","","","","","","","","",""
"792","LAN","LAN","LAN","","","","","","","",""
"793","COL","COL","COL","SDN","","","","","","",""
"794","SDN","SDN","LAA","LAA","LAA","PIT","TBA","","","",""
"795","PIT","PIT","MIN","MIN","MIN","SLN","PIT","","","",""
"796","OAK","OAK","SLN","","","","","","","",""
"797","SDN","KCA","","","","","","","","",""
"798","CHN","CHN","TEX","","","","","","","",""
"799","CHN","CLE","CHA","","","","","","","",""
"800","HOU","SDN","","","","","","","","",""
"801","TBA","TBA","TBA","OAK","MIN","OAK","OAK","","","",""
"802","CHA","","","","","","","","","",""
"803","DET","","","","","","","","","",""
"804","DET","SEA","SEA","SEA","SEA","SEA","","","","",""
"805","LAN","SLN","SLN","MIA","","","","","","",""
"806","ARI","HOU","","","","","","","","",""
"807","SDN","","","","","","","","","",""
"808","MIL","MIL","MIL","MIL","TEX","BAL","","","","",""
"809","TEX","TEX","","","","","","","","",""
"810","PHI","PHI","PHI","PHI","PHI","","","","","",""
"811","TBA","","","","","","","","","",""
"812","NYA","SEA","","","","","","","","",""
"813","MIL","MIL","","","","","","","","",""
"814","ATL","","","","","","","","","",""
"815","SDN","SDN","","","","","","","","",""
"816","ATL","ATL","","","","","","","","",""
"817","DET","DET","CHA","CHA","CHA","CHA","","","","",""
"818","WAS","","","","","","","","","",""
"819","NYA","NYA","BAL","ATL","","","","","","",""
"820","SLN","SLN","SLN","","","","","","","",""
"821","SFN","SFN","SFN","SFN","SFN","SFN","","","","",""
"822","SLN","SLN","SLN","SLN","SLN","SLN","","","","",""
"823","BAL","","","","","","","","","",""
"824","TEX","CHA","CHA","CHA","CHA","","","","","",""
"825","PHI","PHI","PHI","PHI","","","","","","",""
"826","LAN","","","","","","","","","",""
"827","LAN","LAN","LAN","","","","","","","",""
"828","NYA","NYA","NYA","NYA","NYA","NYA","","","","",""
"829","LAN","COL","","","","","","","","",""
"830","COL","","","","","","","","","",""
"831","COL","COL","","","","","","","","",""
"832","CLE","","","","","","","","","",""
"833","NYA","","","","","","","","","",""
"834","TBA","","","","","","","","","",""
"835","CHN","CHN","CHN","TEX","MIL","MIL","MIL","","","",""
"836","SLN","","","","","","","","","",""
"837","BOS","","","","","","","","","",""
"838","ATL","ATL","HOU","HOU","","","","","","",""
"839","CHN","","","","","","","","","",""
"840","WAS","MIA","SFN","","","","","","","",""
"841","BAL","BAL","BAL","BAL","","","","","","",""
"842","ATL","ATL","ATL","SFN","SFN","","","","","",""
"843","NYN","NYN","NYN","NYN","NYN","KCA","","","","",""
"844","LAA","TBA","TBA","TBA","","","","","","",""
"845","MIL","MIL","MIL","MIL","","","","","","",""
"846","TEX","TEX","TEX","OAK","OAK","LAA","","","","",""
"847","TEX","","","","","","","","","",""
"848","CLE","BOS","CHN","TOR","TEX","","","","","",""
"849","NYN","NYN","CHN","COL","COL","","","","","",""
"850","KCA","KCA","KCA","TOR","","","","","","",""
"851","COL","COL","CLE","CLE","","","","","","",""
"852","KCA","KCA","KCA","KCA","LAA","LAA","","","","",""
"853","LAN","","","","","","","","","",""
"854","MIN","MIN","MIN","MIN","","","","","","",""
"855","PHI","PHI","HOU","","","","","","","",""
"856","SFN","SFN","CHA","CHA","CHA","LAA","SFN","","","",""
"857","ARI","SFN","CHN","SEA","TOR","MIA","MIA","","","",""
"858","NYN","NYN","","","","","","","","",""
"859","SEA","TBA","TBA","TEX","CLE","TEX","CLE","","","",""
"860","LAN","CHA","CHA","","","","","","","",""
"861","MIL","MIL","","","","","","","","",""
"862","WAS","","","","","","","","","",""
"863","TOR","","","","","","","","","",""
"864","BAL","BAL","","","","","","","","",""
"865","PIT","","","","","","","","","",""
"866","TOR","","","","","","","","","",""
"867","PHI","","","","","","","","","",""
"868","WAS","","","","","","","","","",""
"869","OAK","OAK","","","","","","","","",""
"870","ARI","ARI","","","","","","","","",""
"871","SDN","","","","","","","","","",""
"872","NYN","NYN","NYN","","","","","","","",""
"873","PHI","","","","","","","","","",""
"874","MIL","MIL","","","","","","","","",""
"875","TOR","TOR","TOR","TOR","","","","","","",""
"876","ARI","ARI","ARI","ARI","ARI","ARI","","","","",""
"877","NYA","","","","","","","","","",""
"878","TBA","TBA","TBA","TBA","TBA","","","","","",""
"879","CIN","WAS","OAK","BOS","BOS","OAK","ATL","KCA","","",""
"880","TOR","CLE","CLE","CLE","CLE","","","","","",""
"881","MIL","MIL","MIL","MIL","MIL","HOU","HOU","TEX","","",""
"882","COL","MIL","MIL","","","","","","","",""
"883","CLE","CLE","PIT","PIT","PHI","PHI","","","","",""
"884","BOS","","","","","","","","","",""
"885","BOS","BOS","LAN","LAN","LAN","LAN","LAN","","","",""
"886","ATL","MIL","MIL","DET","","","","","","",""
"887","SDN","TEX","CHN","NYA","","","","","","",""
"888","COL","COL","COL","COL","COL","COL","","","","",""
"889","TEX","TEX","","","","","","","","",""
"890","COL","HOU","TOR","HOU","","","","","","",""
"891","DET","","","","","","","","","",""
"892","CLE","","","","","","","","","",""
"893","OAK","WAS","WAS","WAS","WAS","WAS","","","","",""
"894","HOU","HOU","HOU","HOU","HOU","","","","","",""
"895","SLN","SLN","","","","","","","","",""
"896","BAL","TEX","WAS","MIL","","","","","","",""
"897","BAL","BAL","BAL","BAL","CHA","","","","","",""
"898","CHA","","","","","","","","","",""
"899","PHI","","","","","","","","","",""
"900","PHI","PHI","","","","","","","","",""
"901","WAS","","","","","","","","","",""
"902","NYA","NYA","","","","","","","","",""
"903","KCA","KCA","KCA","KCA","KCA","KCA","","","","",""
"904","NYA","","","","","","","","","",""
"905","LAN","LAN","LAN","LAN","MIA","MIA","","","","",""
"906","KCA","KCA","KCA","","","","","","","",""
"907","WAS","WAS","MIL","MIL","DET","CLE","","","","",""
"908","TOR","TOR","TOR","DET","DET","","","","","",""
"909","ARI","ARI","ARI","ARI","","","","","","",""
"910","ATL","ATL","ATL","ARI","ARI","","","","","",""
"911","LAA","WAS","","","","","","","","",""
"912","HOU","","","","","","","","","",""
"913","CHN","","","","","","","","","",""
"914","WAS","WAS","","","","","","","","",""
"915","MIN","MIN","","","","","","","","",""
"916","ARI","","","","","","","","","",""
"917","NYA","NYA","NYA","NYN","NYN","NYN","","","","",""
"918","SDN","SDN","SDN","LAN","LAN","","","","","",""
"919","LAA","","","","","","","","","",""
"920","TOR","OAK","OAK","","","","","","","",""
"921","CHA","SEA","MIN","","","","","","","",""
"922","COL","COL","","","","","","","","",""
"923","OAK","OAK","OAK","OAK","","","","","","",""
"924","MIA","","","","","","","","","",""
"925","NYA","","","","","","","","","",""
"926","OAK","LAA","LAA","LAA","SFN","","","","","",""
"927","MIA","MIA","","","","","","","","",""
"928","SLN","SLN","","","","","","","","",""
"929","MIL","","","","","","","","","",""
"930","NYA","DET","DET","","","","","","","",""
"931","MIL","MIL","","","","","","","","",""
"932","SLN","SLN","HOU","CHA","","","","","","",""
"933","SDN","SDN","SDN","OAK","HOU","HOU","","","","",""
"934","BAL","BAL","CHN","MIA","CIN","","","","","",""
"935","CIN","ARI","ARI","NYA","NYA","","","","","",""
"936","MIL","MIL","LAA","LAN","LAN","LAN","ARI","","","",""
"937","SLN","SLN","SLN","","","","","","","",""
"938","OAK","OAK","TEX","","","","","","","",""
"939","PIT","PIT","PIT","PIT","LAA","ATL","ATL","TOR","","",""
"940","TEX","TEX","CHN","CHN","CHN","CHN","","","","",""
"941","HOU","HOU","HOU","MIN","","","","","","",""
"942","LAA","","","","","","","","","",""
"943","NYN","","","","","","","","","",""
"944","SEA","SEA","","","","","","","","",""
"945","LAN","LAN","","","","","","","","",""
"946","PIT","LAA","","","","","","","","",""
"947","LAN","LAN","LAN","CHA","CHA","LAA","","","","",""
"948","CHA","MIL","","","","","","","","",""
"949","LAN","LAN","LAN","CHN","MIN","","","","","",""
"950","SDN","","","","","","","","","",""
"951","BAL","","","","","","","","","",""
"952","DET","","","","","","","","","",""
"953","CLE","BAL","TBA","MIL","","","","","","",""
"954","COL","COL","","","","","","","","",""
"955","HOU","","","","","","","","","",""
"956","BAL","COL","KCA","KCA","KCA","KCA","","","","",""
"957","SEA","SEA","SEA","SEA","SEA","","","","","",""
"958","ARI","KCA","LAA","SFN","","","","","","",""
"959","TBA","TBA","TBA","TBA","TBA","CLE","","","","",""
"960","TBA","","","","","","","","","",""
"961","SDN","SDN","SDN","HOU","","","","","","",""
"962","LAN","LAN","PHI","","","","","","","",""
"963","SDN","SDN","SDN","SLN","","","","","","",""
"964","MIN","SFN","","","","","","","","",""
"965","CLE","CLE","NYA","","","","","","","",""
"966","CLE","CLE","CLE","CLE","CLE","","","","","",""
"967","ARI","","","","","","","","","",""
"968","PIT","PIT","TOR","","","","","","","",""
"969","SDN","OAK","OAK","","","","","","","",""
"970","WAS","MIL","LAN","LAN","","","","","","",""
"971","NYN","NYN","CHN","WAS","WAS","","","","","",""
"972","ATL","ATL","COL","COL","","","","","","",""
"973","PHI","PHI","PHI","","","","","","","",""
"974","HOU","SFN","BAL","","","","","","","",""
"975","SFN","MIA","","","","","","","","",""
"976","SEA","","","","","","","","","",""
"977","MIL","","","","","","","","","",""
"978","TEX","","","","","","","","","",""
"979","PHI","PHI","PHI","PHI","PHI","TEX","TEX","","","",""
"980","CIN","CIN","CIN","CIN","","","","","","",""
"981","TEX","TEX","LAA","LAA","TEX","","","","","",""
"982","SLN","","","","","","","","","",""
"983","COL","BAL","BAL","CHN","OAK","CHN","CHN","","","",""
"984","ARI","","","","","","","","","",""
"985","NYN","","","","","","","","","",""
"986","SDN","","","","","","","","","",""
"987","FLO","MIA","MIA","MIA","MIA","SDN","","","","",""
"988","MIL","CIN","","","","","","","","",""
"989","ARI","","","","","","","","","",""
"990","CIN","CIN","CIN","TBA","BOS","BOS","","","","",""
"991","CLE","CLE","CIN","CIN","","","","","","",""
"992","PIT","PIT","BOS","","","","","","","",""
"993","PIT","","","","","","","","","",""
"994","ATL","ATL","LAA","","","","","","","",""
"995","HOU","HOU","TOR","TOR","TOR","SEA","PIT","TOR","","",""
"996","SDN","LAN","SEA","NYN","ATL","PHI","","","","",""
"997","OAK","","","","","","","","","",""
"998","DET","DET","DET","","","","","","","",""
"999","BAL","BAL","BAL","BAL","BAL","BAL","","","","",""
"1000","LAA","LAA","WAS","LAN","MIA","CHN","","","","",""
"1001","WAS","WAS","WAS","WAS","WAS","","","","","",""
"1002","CHA","HOU","HOU","HOU","HOU","ATL","TEX","","","",""
"1003","LAA","","","","","","","","","",""
"1004","PIT","PIT","PIT","PIT","PIT","PIT","","","","",""
"1005","TEX","TEX","TEX","TEX","TEX","","","","","",""
"1006","SLN","","","","","","","","","",""
"1007","NYN","CIN","","","","","","","","",""
"1008","COL","ARI","ARI","HOU","HOU","","","","","",""
"1009","MIL","MIL","SEA","PIT","","","","","","",""
"1010","BAL","","","","","","","","","",""
"1011","NYN","NYN","NYN","NYN","","","","","","",""
"1012","BOS","","","","","","","","","",""
"1013","FLO","MIA","MIA","MIA","LAN","LAN","","","","",""
"1014","ARI","","","","","","","","","",""
"1015","SLN","","","","","","","","","",""
"1016","MIL","LAA","NYN","COL","COL","TOR","","","","",""
"1017","LAN","","","","","","","","","",""
"1018","SDN","LAA","","","","","","","","",""
"1019","FLO","MIA","KCA","KCA","CLE","","","","","",""
"1020","CIN","","","","","","","","","",""
"1021","SLN","","","","","","","","","",""
"1022","CLE","","","","","","","","","",""
"1023","SDN","SDN","SDN","SDN","NYA","NYA","NYA","","","",""
"1024","OAK","","","","","","","","","",""
"1025","MIA","LAA","LAA","","","","","","","",""
"1026","CHA","CHA","","","","","","","","",""
"1027","NYA","","","","","","","","","",""
"1028","TOR","MIA","MIA","MIA","MIA","","","","","",""
"1029","SDN","SDN","","","","","","","","",""
"1030","NYN","NYN","","","","","","","","",""
"1031","ARI","","","","","","","","","",""
"1032","CIN","CIN","CIN","CIN","LAN","WAS","","","","",""
"1033","NYA","","","","","","","","","",""
"1034","TBA","TBA","TBA","TBA","ARI","PHI","","","","",""
"1035","MIL","","","","","","","","","",""
"1036","FLO","","","","","","","","","",""
"1037","COL","COL","COL","","","","","","","",""
"1038","SFN","BOS","BOS","BOS","","","","","","",""
"1039","MIL","MIL","MIL","NYN","","","","","","",""
"1040","CHN","CHN","CHN","","","","","","","",""
"1041","MIN","MIN","MIN","TOR","KCA","TOR","OAK","","","",""
"1042","BAL","","","","","","","","","",""
"1043","NYN","","","","","","","","","",""
"1044","FLO","SFN","","","","","","","","",""
"1045","SEA","","","","","","","","","",""
"1046","CIN","SDN","SDN","","","","","","","",""
"1047","PHI","PHI","PHI","PHI","","","","","","",""
"1048","ARI","ARI","ARI","ARI","PHI","","","","","",""
"1049","ATL","","","","","","","","","",""
"1050","HOU","MIA","LAN","LAN","","","","","","",""
"1051","SEA","SEA","SEA","SEA","SEA","SEA","","","","",""
"1052","PIT","MIA","PIT","SFN","","","","","","",""
"1053","WAS","ATL","MIL","","","","","","","",""
"1054","TEX","","","","","","","","","",""
"1055","BOS","","","","","","","","","",""
"1056","ARI","ARI","","","","","","","","",""
"1057","CHA","MIN","COL","","","","","","","",""
"1058","CIN","COL","LAN","","","","","","","",""
"1059","HOU","","","","","","","","","",""
"1060","PHI","PHI","","","","","","","","",""
"1061","MIL","NYN","","","","","","","","",""
"1062","NYN","NYN","","","","","","","","",""
"1063","LAN","LAN","MIL","MIL","","","","","","",""
"1064","COL","COL","COL","BOS","CHN","","","","","",""
"1065","KCA","KCA","KCA","KCA","KCA","KCA","","","","",""
"1066","PHI","PHI","","","","","","","","",""
"1067","LAA","","","","","","","","","",""
"1068","MIN","MIN","MIN","MIN","ARI","","","","","",""
"1069","CLE","CLE","PHI","","","","","","","",""
"1070","ARI","ARI","SDN","","","","","","","",""
"1071","LAA","LAA","","","","","","","","",""
"1072","SFN","SFN","SFN","","","","","","","",""
"1073","ATL","ATL","ATL","ATL","SLN","CHN","","","","",""
"1074","MIN","MIN","MIN","NYA","","","","","","",""
"1075","ATL","OAK","SFN","","","","","","","",""
"1076","SEA","DET","","","","","","","","",""
"1077","TOR","ARI","ARI","ARI","ARI","ARI","MIL","BOS","","",""
"1078","CHN","CHN","MIA","PHI","","","","","","",""
"1079","BOS","BOS","CLE","LAA","NYA","BOS","OAK","LAN","","",""
"1080","TOR","","","","","","","","","",""
"1081","SLN","","","","","","","","","",""
"1082","WAS","WAS","","","","","","","","",""
"1083","BOS","PHI","PHI","","","","","","","",""
"1084","SDN","CHN","","","","","","","","",""
"1085","ATL","ATL","ARI","","","","","","","",""
"1086","KCA","KCA","KCA","KCA","KCA","","","","","",""
"1087","BAL","BAL","HOU","HOU","HOU","","","","","",""
"1088","MIN","","","","","","","","","",""
"1089","LAN","","","","","","","","","",""
"1090","COL","","","","","","","","","",""
"1091","DET","DET","DET","DET","TEX","BOS","","","","",""
"1092","NYA","","","","","","","","","",""
"1093","PIT","","","","","","","","","",""
"1094","TEX","TEX","TEX","TEX","TEX","TEX","","","","",""
"1095","KCA","KCA","KCA","KCA","KCA","","","","","",""
"1096","PHI","","","","","","","","","",""
"1097","SLN","SLN","SLN","SLN","SLN","SLN","","","","",""
"1098","ARI","CIN","CIN","","","","","","","",""
"1099","MIN","","","","","","","","","",""
"1100","PIT","BOS","BOS","BOS","BOS","","","","","",""
"1101","CLE","CLE","CIN","CIN","","","","","","",""
"1102","MIA","","","","","","","","","",""
"1103","CIN","CIN","CIN","CIN","CIN","","","","","",""
"1104","CIN","PHI","PHI","","","","","","","",""
"1105","KCA","KCA","KCA","KCA","KCA","KCA","","","","",""
"1106","BOS","KCA","","","","","","","","",""
"1107","MIL","","","","","","","","","",""
"1108","CLE","CLE","CLE","","","","","","","",""
"1109","PHI","PHI","PHI","PHI","PHI","PHI","","","","",""
"1110","TBA","TBA","LAN","LAN","LAN","LAN","","","","",""
"1111","TEX","","","","","","","","","",""
"1112","HOU","","","","","","","","","",""
"1113","NYN","","","","","","","","","",""
"1114","ARI","ARI","ARI","ARI","ARI","","","","","",""
"1115","BAL","","","","","","","","","",""
"1116","SDN","SDN","CHA","","","","","","","",""
"1117","ATL","ATL","ATL","SFN","SFN","","","","","",""
"1118","SFN","SFN","","","","","","","","",""
"1119","CLE","CLE","CLE","NYA","SFN","NYA","LAN","LAA","","",""
"1120","MIN","","","","","","","","","",""
"1121","PIT","PIT","PIT","PIT","PIT","PIT","","","","",""
"1122","MIN","MIN","OAK","","","","","","","",""
"1123","NYA","NYA","NYA","MIN","MIN","MIN","","","","",""
"1124","CHA","CHA","HOU","","","","","","","",""
"1125","SDN","SDN","SDN","SDN","BAL","COL","COL","","","",""
"1126","SDN","PHI","","","","","","","","",""
